"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\restricted.feature: Read-only validation","11468","test_readonly_validation[TC_MyInfo_026-Report To]","tests","2026-02-02","broken","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\uploads.feature: Upload validation","14025","test_upload_validation[TC_MyInfo_042.3-doc_big.pdf-Validation failed]","tests","2026-02-02","broken","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\crud.feature: Delete record","20794","test_delete_record[TC_MyInfo_047-Membership]","tests","2026-02-02","broken","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\personal_details.feature: Restricted fields in Personal Details (TC_MyInfo_007)","14872","test_restricted_fields_in_personal_details_tc_myinfo_007","tests","2026-02-02","broken","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\crud.feature: Add record","20602","test_add_record[TC_MyInfo_027-Qualifications]","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\login.feature: ESS login validation","1","test_ess_login_validation[TC_MyInfo_002-pavan-xxxxxx-Invalid credentials]","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\crud.feature: Delete record","14517","test_delete_record[TC_MyInfo_021-Immigration]","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\restricted.feature: Read-only validation","20316","test_readonly_validation[TC_MyInfo_023-Job]","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\login.feature: ESS login validation","1","test_ess_login_validation[TC_MyInfo_003-xxxxxxxx-pavan@12345-Invalid credentials]","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\personal_details.feature: Edit Personal Details (TC_MyInfo_006)","10340","test_edit_personal_details_tc_myinfo_006","","2026-02-02","passed","2026-02-02","","","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\crud.feature: Add record","13169","test_add_record[TC_MyInfo_027-Qualifications]","tests","2026-02-02","broken","2026-02-02","","test_bdd_runner","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\login.feature: ESS login validation","0","test_ess_login_validation[TC_MyInfo_004-xxxxxxxx-xxxxxx-Invalid credentials]","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
"D:\PythonProject\playwright_assignment_Ayushmaan\qa.orangeHRM.automation\features\my_info\uploads.feature: Upload validation","22812","test_upload_validation[TC_MyInfo_042.1-doc_small.pdf-Upload successful]","tests","2026-02-02","broken","2026-02-02","","test_myinfo_bdd","",""
